小区名,地址,建造年限
华雅财富城,嘉陵广场,3室2厅 | 100.56平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼
丽晶府,嘉陵广场,3室2厅 | 98.76平米 | 南 | 其他 | 高楼层(共32层)  | 塔楼
南门壹号,西山风景区,3室2厅 | 86.17平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼
蓝光香江国际二期三区,西山风景区,3室2厅 | 107平米 | 东南 | 其他 | 高楼层(共29层)  | 塔楼
美宇悦庭,白马湖,4室1厅 | 117平米 | 东南 | 其他 | 高楼层(共27层)  | 塔楼
嘉州玫瑰花园,嘉陵广场,3室2厅 | 103平米 | 东 | 其他 | 中楼层(共33层)  | 板塔结合
恒鹏小区,嘉陵广场,3室2厅 | 110平米 | 东南 | 精装 | 低楼层(共6层)  | 板塔结合
南充恒大城,南湖,3室2厅 | 125平米 | 东 南 | 其他 | 中楼层(共26层)  | 塔楼
南高苑,嘉陵广场,2室2厅 | 105平米 | 东南 | 简装 | 高楼层(共29层)  | 塔楼
时代天骄二区,南湖,2室2厅 | 88.04平米 | 东南 | 精装 | 中楼层(共30层)  | 塔楼
锦通·满庭芳,西山风景区,1室1厅 | 53.97平米 | 东南 | 精装 | 中楼层(共18层)  | 塔楼
乾道时代天骄,南湖,1室1厅 | 36平米 | 东南 | 其他 | 中楼层(共21层)  | 塔楼
益欣维多利亚,嘉陵广场,1室2厅 | 56.89平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼
地中海蓝,嘉陵广场,1室1厅 | 46.93平米 | 东南 | 其他 | 高楼层(共18层)  | 板塔结合
紫府小区,嘉陵广场,2室2厅 | 78.9平米 | 南 | 其他 | 低楼层(共7层)  | 板楼
嘉南国际,嘉陵广场,2室1厅 | 79.19平米 | 东南 | 其他 | 中楼层(共10层)  | 塔楼
公园大地,南湖,2室2厅 | 84平米 | 西北 | 其他 | 中楼层(共7层)  | 板塔结合
格林悦城,嘉陵广场,2室1厅 | 83.19平米 | 南 | 其他 | 高楼层(共6层)  | 塔楼
南门壹号,西山风景区,2室2厅 | 76.6平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼
乐居小区,西山风景区,2室2厅 | 93.28平米 | 东南 | 毛坯 | 中楼层(共7层)  | 板楼
阳光·白马城,白马湖,3室2厅 | 84.5平米 | 东 | 其他 | 高楼层(共27层)  | 塔楼
锦通·满庭芳,西山风景区,1室1厅 | 52平米 | 东南 | 简装 | 中楼层(共18层)  | 塔楼
地中海蓝,嘉陵广场,1室1厅 | 48平米 | 东南 | 其他 | 中楼层(共18层)  | 板塔结合
友合综贸市场,西山风景区,3室2厅 | 103平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据
莱诗·柏林美墅,西山风景区,4室2厅 | 120平米 | 南 | 其他 | 高楼层(共6层)  | 板楼
蓝光香江国际二期五区,西山风景区,4室2厅 | 126平米 | 南 | 其他 | 中楼层(共20层)  | 塔楼
南充恒大城,南湖,3室2厅 | 95平米 | 南 | 其他 | 低楼层(共30层)  | 塔楼
蓝光香江国际二期五区,西山风景区,4室2厅 | 137平米 | 南 北 | 毛坯 | 低楼层(共20层)  | 塔楼
公园大地,南湖,3室1厅 | 90.14平米 | 东南 | 其他 | 中楼层(共24层)  | 塔楼
碧桂园天玺湾,文峰,4室2厅 | 147.19平米 | 东南 南 | 其他 | 高楼层(共18层)  | 塔楼
南湖凯旋广场,南湖,3室2厅 | 93平米 | 南 | 其他 | 低楼层(共26层)  | 塔楼
融创九棠府,南湖,3室2厅 | 115平米 | 东南 | 其他 | 低楼层(共32层)  | 板楼
蓝光香江国际二期三区,西山风景区,4室2厅 | 117平米 | 南 | 其他 | 中楼层(共29层)  | 塔楼
祥和丽景,南湖,4室1厅 | 147.12平米 | 东 | 其他 | 高楼层(共7层)  | 板楼
宏凌·滨江又一城,嘉陵广场,3室2厅 | 99平米 | 东南 | 其他 | 中楼层(共6层)  | 塔楼
阳光御府,南湖,3室2厅 | 85.54平米 | 南 | 其他 | 高楼层(共11层)  | 塔楼
耀目路2段67号,嘉陵广场,2室2厅 | 75平米 | 南 | 精装 | 高楼层(共7层)  | 板楼
天庐二区,南湖,3室2厅 | 125平米 | 南 | 简装 | 中楼层(共5层)  | 塔楼
天庐二区,南湖,4室1厅 | 182.54平米 | 东南 | 毛坯 | 中楼层(共5层)  | 塔楼
阳光御府,南湖,3室2厅 | 85平米 | 东南 | 其他 | 高楼层(共30层)  | 塔楼
创信锦城,嘉陵广场,4室2厅 | 123平米 | 东南 | 其他 | 高楼层(共6层)  | 塔楼
祥和丽景,南湖,3室2厅 | 127平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼
兴盛街51号,西山风景区,3室2厅 | 145.93平米 | 东 | 其他 | 高楼层(共7层)  | 板楼
天庐一区,南湖,3室2厅 | 125平米 | 东南 | 其他 | 高楼层(共32层)  | 塔楼
国鑫凤垭山,南湖,4室2厅 | 140平米 | 西南 | 其他 | 高楼层(共6层)  | 暂无数据
碧桂园天玺湾,文峰,4室2厅 | 138平米 | 南 | 其他 | 中楼层(共18层)  | 塔楼
九洲名苑,嘉陵广场,3室1厅 | 97.8平米 | 东南 | 其他 | 高楼层(共27层)  | 塔楼
萬豐花園,嘉陵广场,3室1厅 | 102.41平米 | 东南 | 其他 | 高楼层(共7层)  | 板楼
希望城二区,南湖,3室2厅 | 96平米 | 南 | 其他 | 高楼层(共21层)  | 塔楼
名仕公馆,嘉陵广场,3室1厅 | 103平米 | 南 | 毛坯 | 低楼层(共6层)  | 塔楼
名仕公馆,嘉陵广场,3室1厅 | 103平米 | 南 | 毛坯 | 低楼层(共6层)  | 塔楼
凤山丽景,南湖,3室1厅 | 84.36平米 | 南 | 其他 | 中楼层(共12层)  | 板塔结合
天庐二区,南湖,4室2厅 | 164.59平米 | 东南 | 其他 | 高楼层(共5层)  | 塔楼
南门壹号,西山风景区,3室2厅 | 98.94平米 | 东南 南 | 其他 | 低楼层(共33层)  | 塔楼
阳光西山秘境,西山风景区,3室2厅 | 83平米 | 东南 | 其他 | 高楼层(共27层)  | 塔楼
南岸乐都,南湖,3室2厅 | 103平米 | 东 | 其他 | 低楼层(共7层)  | 板楼
天庐二区,南湖,4室2厅 | 183.79平米 | 西北 | 毛坯 | 高楼层(共4层)  | 塔楼
丽晶府,嘉陵广场,3室2厅 | 97平米 | 东 | 其他 | 低楼层(共32层)  | 塔楼
丽晶府,嘉陵广场,3室2厅 | 96平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼
碧桂园天玺湾,文峰,3室1厅 | 129平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼
南门壹号,西山风景区,3室2厅 | 93.4平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼
万基蓝域,嘉陵广场,3室2厅 | 100.99平米 | 东南 | 毛坯 | 低楼层(共6层)  | 塔楼
蓝光香江花园,南湖,4室2厅 | 137平米 | 东南 | 毛坯 | 中楼层(共30层)  | 塔楼
坤隆花园,嘉陵广场,3室2厅 | 120平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼
南湖凯旋广场,南湖,3室2厅 | 95平米 | 东南 | 其他 | 中楼层(共26层)  | 塔楼
霓云锦庭,南湖,3室2厅 | 80.27平米 | 东南 | 其他 | 低楼层(共18层)  | 塔楼
圣辉观湖国际小区,南湖,3室2厅 | 108平米 | 东南 | 其他 | 中楼层(共7层)  | 塔楼
碧桂园,文峰,3室1厅 | 112.9平米 | 东南 | 其他 | 低楼层(共32层)  | 塔楼
时代港湾,南湖,3室2厅 | 117.7平米 | 西南 | 其他 | 低楼层(共28层)  | 暂无数据
上南印象,南湖,3室2厅 | 84平米 | 东 | 其他 | 低楼层(共18层)  | 塔楼
中虹国际二区,嘉陵广场,3室2厅 | 106.5平米 | 南 | 其他 | 中楼层(共30层)  | 塔楼
南湖凯旋广场,南湖,3室1厅 | 96.6平米 | 南 | 毛坯 | 低楼层(共23层)  | 塔楼
丽晶府,嘉陵广场,3室2厅 | 94平米 | 南 | 简装 | 低楼层(共32层)  | 塔楼
南山府邸,文峰,3室2厅 | 118平米 | 东南 | 毛坯 | 高楼层(共18层)  | 塔楼
悦麓名邸,南湖,4室2厅 | 115平米 | 东南 | 其他 | 低楼层(共18层)  | 塔楼
南充恒大城,南湖,4室1厅 | 134平米 | 东南 | 其他 | 低楼层(共32层)  | 塔楼
奥斯汀小镇,嘉陵广场,3室2厅 | 127平米 | 东南 | 其他 | 中楼层(共5层)  | 塔楼
南充恒大城,南湖,3室2厅 | 99.99平米 | 东 | 其他 | 高楼层(共30层)  | 塔楼
悦麓名邸,南湖,3室2厅 | 93.8平米 | 东 | 其他 | 低楼层(共22层)  | 塔楼
蓝光香江国际二期五区,西山风景区,4室2厅 | 116平米 | 南 | 其他 | 高楼层(共20层)  | 塔楼
碧桂园,文峰,3室2厅 | 101平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼
香槟尚城,嘉陵广场,3室2厅 | 103平米 | 南 | 其他 | 低楼层(共6层)  | 板楼
创信锦城,嘉陵广场,3室2厅 | 95平米 | 东南 | 其他 | 低楼层(共6层)  | 板楼
长兴嘉苑,嘉陵广场,3室2厅 | 94.86平米 | 东南 | 其他 | 高楼层(共7层)  | 塔楼
阳光西山翰林,白马湖,3室2厅 | 85平米 | 东 | 其他 | 高楼层(共29层)  | 暂无数据
同芳园,嘉陵广场,4室2厅 | 95.25平米 | 东南 | 简装 | 高楼层(共8层)  | 板楼
南域世家,嘉陵广场,3室2厅 | 114平米 | 南 | 其他 | 低楼层(共6层)  | 板楼
香洲郡,嘉陵广场,3室2厅 | 110平米 | 东南 | 其他 | 低楼层(共6层)  | 塔楼
碧桂园天玺湾,文峰,3室1厅 | 119.42平米 | 东南 | 其他 | 高楼层(共32层)  | 塔楼
天庐二区,南湖,3室2厅 | 144平米 | 南 | 其他 | 低楼层(共5层)  | 塔楼
凤山丽景,南湖,3室2厅 | 89.9平米 | 东 | 其他 | 中楼层(共6层)  | 板楼
碧桂园天玺湾,文峰,4室2厅 | 138平米 | 南 北 | 其他 | 低楼层(共18层)  | 塔楼
国鑫凤垭山,南湖,3室2厅 | 93平米 | 东南 | 毛坯 | 低楼层(共12层)  | 塔楼
富翔名都,嘉陵广场,3室2厅 | 123平米 | 南 | 其他 | 中楼层(共8层)  | 板楼
誉峰小区,南湖,3室2厅 | 95.44平米 | 东南 | 毛坯 | 中楼层(共17层)  | 塔楼
彩虹星城,南湖,3室2厅 | 92.73平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据
圣辉观湖国际小区,南湖,3室2厅 | 108平米 | 东南 | 毛坯 | 高楼层(共7层)  | 塔楼
碧桂园天玺湾,文峰,4室2厅 | 144平米 | 南 北 | 其他 | 高楼层(共18层)  | 塔楼
白马汇悦台,白马湖,3室2厅 | 90.88平米 | 东南 | 毛坯 | 高楼层(共30层)  | 塔楼
嘉陵花园,南湖,4室2厅 | 148平米 | 东 | 其他 | 中楼层(共6层)  | 板楼
陈寿花园,西山风景区,3室2厅 | 130.16平米 | 东南 | 其他 | 中楼层(共7层)  | 板楼
锦通·满庭芳,西山风景区,3室2厅 | 104平米 | 东 东南 | 其他 | 高楼层(共18层)  | 塔楼
上層嶺地,西山风景区,3室2厅 | 105平米 | 东南 | 其他 | 高楼层(共30层)  | 塔楼
蓝光香江国际二期六区,西山风景区,3室2厅 | 95平米 | 东南 | 其他 | 中楼层(共20层)  | 塔楼
天庐二区,南湖,3室2厅 | 138.39平米 | 东 | 精装 | 中楼层(共5层)  | 塔楼
南充恒大城,南湖,3室2厅 | 125平米 | 东 东北 北 | 精装 | 中楼层(共26层)  | 塔楼
创信锦城,嘉陵广场,3室2厅 | 111平米 | 东南 南 | 其他 | 中楼层(共6层)  | 塔楼
逸水兰庭,嘉陵广场,3室2厅 | 116平米 | 东南 | 其他 | 高楼层(共6层)  | 板楼
华林广场,南湖,3室2厅 | 94平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼
碧桂园天玺湾,文峰,3室2厅 | 118平米 | 南 | 其他 | 中楼层(共27层)  | 塔楼
长宁街75号,嘉陵广场,3室2厅 | 131平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据
悦麓名邸,南湖,3室2厅 | 94平米 | 东 | 毛坯 | 高楼层(共24层)  | 塔楼
碧桂园,文峰,3室2厅 | 101平米 | 东 东南 | 其他 | 高楼层(共32层)  | 塔楼
南湖凯旋广场,南湖,3室2厅 | 94.25平米 | 东南 | 其他 | 低楼层(共26层)  | 塔楼
紫御嘉园,南湖,3室2厅 | 90平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据
阳光西山秘境,西山风景区,3室2厅 | 101平米 | 东 | 其他 | 中楼层(共10层)  | 暂无数据
蓝光香江国际二期五区,西山风景区,4室2厅 | 116.37平米 | 东 东南 | 毛坯 | 高楼层(共20层)  | 塔楼
紫御嘉园,南湖,3室2厅 | 90.89平米 | 东 | 其他 | 高楼层(共16层)  | 暂无数据
南湖凯旋广场,南湖,3室2厅 | 95.17平米 | 东南 | 毛坯 | 低楼层(共23层)  | 塔楼
阳光御府,南湖,3室1厅 | 80.37平米 | 南 北 | 精装 | 中楼层(共30层)  | 暂无数据
希望城二区,南湖,3室2厅 | 105平米 | 东 | 其他 | 低楼层(共29层)  | 塔楼
圣辉观湖国际小区,南湖,3室2厅 | 98平米 | 南 北 | 其他 | 中楼层(共16层)  | 塔楼
希望城一区,南湖,3室2厅 | 95平米 | 西北 | 其他 | 低楼层(共33层)  | 塔楼
蓝光香江国际二期六区,西山风景区,4室2厅 | 123.8平米 | 东 南 | 其他 | 高楼层(共18层)  | 塔楼
陈寿路印染厂宿舍,西山风景区,2室1厅 | 58.23平米 | 东北 | 其他 | 高楼层(共6层)  | 暂无数据
蓝光香江国际二期六区,西山风景区,4室2厅 | 135平米 | 东 | 其他 | 低楼层(共18层)  | 塔楼
蓝光香江国际二期六区,西山风景区,4室2厅 | 107.27平米 | 东南 | 其他 | 低楼层(共20层)  | 塔楼
耀目小区,嘉陵广场,3室2厅 | 111.9平米 | 西南 | 简装 | 中楼层(共6层)  | 板楼
碧桂园天樾,文峰,3室2厅 | 106平米 | 东南 | 毛坯 | 低楼层(共11层)  | 板楼
中虹国际二区,嘉陵广场,3室2厅 | 88.6平米 | 西南 | 毛坯 | 高楼层(共32层)  | 塔楼
公园大地,南湖,3室2厅 | 72平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合
丽晶府,嘉陵广场,3室2厅 | 92.44平米 | 南 | 其他 | 高楼层(共32层)  | 塔楼
碧桂园,文峰,3室2厅 | 127.54平米 | 东北 | 其他 | 中楼层(共32层)  | 塔楼
碧桂园天玺湾,文峰,4室2厅 | 147.19平米 | 东南 南 | 其他 | 高楼层(共18层)  | 塔楼
南充恒大城,南湖,3室2厅 | 112平米 | 东南 | 其他 | 中楼层(共32层)  | 塔楼
蓝光香江国际二期三区,西山风景区,3室2厅 | 105平米 | 东南 | 其他 | 高楼层(共29层)  | 塔楼
碧桂园,文峰,3室2厅 | 127平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼
阳光白马城二区,白马湖,3室2厅 | 92平米 | 东南 | 其他 | 中楼层(共9层)  | 塔楼
阳光西山秘境,西山风景区,3室2厅 | 100.44平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据
蓝光香江国际二期六区,西山风景区,4室2厅 | 116.81平米 | 南 北 | 其他 | 中楼层(共20层)  | 塔楼
美宇悦庭,白马湖,3室2厅 | 90平米 | 东南 | 毛坯 | 低楼层(共27层)  | 塔楼
阳光白马城二区,白马湖,3室2厅 | 85平米 | 东南 | 毛坯 | 中楼层(共31层)  | 塔楼
阳光西山翰林,白马湖,3室2厅 | 87平米 | 南 | 其他 | 中楼层(共29层)  | 暂无数据
国鑫凤垭山,南湖,3室1厅 | 93平米 | 东南 | 其他 | 高楼层(共12层)  | 塔楼
上南印象,南湖,3室2厅 | 137平米 | 东南 | 毛坯 | 低楼层(共7层)  | 板楼
上南印象,南湖,3室2厅 | 96.3平米 | 东南 | 简装 | 高楼层(共18层)  | 塔楼
希望城一区,南湖,4室2厅 | 136平米 | 东 | 精装 | 中楼层(共10层)  | 塔楼
彩虹星城,南湖,3室2厅 | 90.12平米 | 东南 | 其他 | 低楼层(共31层)  | 平房
阳光御府,南湖,3室2厅 | 84平米 | 东南 | 其他 | 高楼层(共30层)  | 暂无数据
创信锦城,嘉陵广场,3室2厅 | 88平米 | 东南 | 其他 | 高楼层(共6层)  | 板塔结合
南湖凯旋广场,南湖,4室2厅 | 99.7平米 | 西南 | 毛坯 | 高楼层(共28层)  | 塔楼
碧桂园,文峰,3室2厅 | 101平米 | 东北 | 其他 | 中楼层(共32层)  | 塔楼
嘉南华府,嘉陵广场,3室2厅 | 101平米 | 东南 | 其他 | 高楼层(共16层)  | 暂无数据
爱丁堡小镇,南湖,3室2厅 | 99平米 | 东南 | 毛坯 | 低楼层(共24层)  | 塔楼
碧桂园天樾,文峰,4室2厅 | 144.3平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据
朗泰嘉源,南湖,3室2厅 | 101.31平米 | 东南 | 其他 | 中楼层(共7层)  | 板楼
广场林静,嘉陵广场,2室2厅 | 83平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据
香槟尚城,嘉陵广场,3室2厅 | 95.5平米 | 东南 西南 | 其他 | 高楼层(共6层)  | 塔楼
中虹国际二区,嘉陵广场,3室2厅 | 109平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼
香槟尚城,嘉陵广场,3室2厅 | 114.25平米 | 东 | 其他 | 中楼层(共6层)  | 板楼
地中海蓝,嘉陵广场,3室2厅 | 129平米 | 西南 | 简装 | 高楼层(共6层)  | 板楼
碧桂园天玺湾,文峰,4室2厅 | 138平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼
南充恒大城,南湖,3室2厅 | 93平米 | 东 | 其他 | 低楼层(共26层)  | 塔楼
碧桂园,文峰,3室2厅 | 105平米 | 东 | 简装 | 低楼层(共32层)  | 塔楼
嘉南华府,嘉陵广场,3室2厅 | 95.3平米 | 西 | 简装 | 高楼层(共6层)  | 塔楼
都尉路信用社小区,嘉陵广场,3室1厅 | 136.6平米 | 东南 | 其他 | 低楼层(共7层)  | 板楼
香槟尚城,嘉陵广场,3室2厅 | 101平米 | 东 东南 南 | 其他 | 中楼层(共6层)  | 板楼
香槟尚城,嘉陵广场,4室2厅 | 95平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼
嘉州玫瑰花园,嘉陵广场,3室2厅 | 115平米 | 南 | 其他 | 高楼层(共6层)  | 板楼
万基蓝域,嘉陵广场,3室2厅 | 120平米 | 东南 | 其他 | 中楼层(共18层)  | 塔楼
香槟尚城,嘉陵广场,3室2厅 | 114.25平米 | 东 | 其他 | 中楼层(共6层)  | 板楼
香槟尚城,嘉陵广场,3室2厅 | 95.5平米 | 东南 西南 | 其他 | 高楼层(共6层)  | 塔楼
上南印象,南湖,3室2厅 | 137平米 | 东南 | 毛坯 | 低楼层(共7层)  | 板楼
上南印象,南湖,3室2厅 | 96.3平米 | 东南 | 简装 | 高楼层(共18层)  | 塔楼
阳光御府,南湖,3室2厅 | 84平米 | 东南 | 其他 | 高楼层(共30层)  | 暂无数据
希望城一区,南湖,4室2厅 | 136平米 | 东 | 精装 | 中楼层(共10层)  | 塔楼
彩虹星城,南湖,3室2厅 | 90.12平米 | 东南 | 其他 | 低楼层(共31层)  | 平房
嘉南华府,嘉陵广场,3室2厅 | 101平米 | 东南 | 其他 | 高楼层(共16层)  | 暂无数据
南湖凯旋广场,南湖,4室2厅 | 99.7平米 | 西南 | 毛坯 | 高楼层(共28层)  | 塔楼
碧桂园,文峰,3室2厅 | 101平米 | 东北 | 其他 | 中楼层(共32层)  | 塔楼
阳光西山秘境,西山风景区,3室2厅 | 81平米 | 东南 | 精装 | 高楼层(共27层)  | 塔楼
华雅财富城,嘉陵广场,3室2厅 | 91平米 | 东南 | 其他 | 低楼层(共34层)  | 塔楼
香洲郡,嘉陵广场,3室1厅 | 106平米 | 东南 | 其他 | 中楼层(共6层)  | 板楼
坤隆花园,嘉陵广场,3室2厅 | 119.33平米 | 东南 | 其他 | 中楼层(共7层)  | 板楼
嘉南国际,嘉陵广场,3室2厅 | 126平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼
中虹国际二区,嘉陵广场,3室2厅 | 87平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼
阳光白马城二区,白马湖,3室2厅 | 84平米 | 东南 | 其他 | 低楼层(共31层)  | 塔楼
嘉南国际,嘉陵广场,2室2厅 | 81平米 | 东 | 毛坯 | 中楼层(共11层)  | 塔楼
康源小区(嘉陵区),嘉陵广场,3室2厅 | 136.3平米 | 东 东南 | 简装 | 高楼层(共7层)  | 暂无数据
世纪名扬,嘉陵广场,4室2厅 | 141.8平米 | 南 | 其他 | 高楼层(共6层)  | 板楼
川北购物中心,嘉陵广场,2室1厅 | 33平米 | 东南 | 简装 | 低楼层(共1层)  | 板楼
万基蓝域,嘉陵广场,3室2厅 | 120平米 | 东南 | 其他 | 中楼层(共18层)  | 塔楼
华雅财富城,嘉陵广场,3室2厅 | 96.6平米 | 东 | 其他 | 中楼层(共32层)  | 暂无数据
紫府小区,嘉陵广场,3室2厅 | 117平米 | 东南 | 其他 | 高楼层(共7层)  | 板楼
南域世家,嘉陵广场,3室2厅 | 98.4平米 | 东南 | 其他 | 高楼层(共7层)  | 板楼
蓝光香江国际二期六区,西山风景区,4室2厅 | 116.85平米 | 东南 | 毛坯 | 高楼层(共20层)  | 塔楼
彩虹星城,南湖,3室2厅 | 93.39平米 | 南 | 其他 | 中楼层(共31层)  | 暂无数据
恒鹏小区,嘉陵广场,3室2厅 | 105平米 | 北 南 | 简装 | 中楼层(共8层)  | 板塔结合
希望城一区,南湖,4室2厅 | 140.1平米 | 东南 | 其他 | 中楼层(共10层)  | 塔楼
名仕公馆,嘉陵广场,3室2厅 | 103.38平米 | 东 | 其他 | 中楼层(共6层)  | 塔楼
希望城一区,南湖,4室2厅 | 140.1平米 | 东南 | 其他 | 中楼层(共10层)  | 塔楼
蓝光香江花园,南湖,4室2厅 | 147平米 | 东南 | 其他 | 低楼层(共32层)  | 塔楼
南湖凯旋广场,南湖,3室2厅 | 96.2平米 | 东南 | 毛坯 | 高楼层(共23层)  | 塔楼
碧桂园,文峰,3室2厅 | 101平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼
蓝光香江国际二期五区,西山风景区,3室1厅 | 116.5平米 | 南 | 其他 | 低楼层(共20层)  | 塔楼
阳光白马城二区,白马湖,3室2厅 | 92平米 | 南 | 其他 | 低楼层(共6层)  | 塔楼
蓝光香江国际二期六区,西山风景区,4室2厅 | 125平米 | 南 | 其他 | 低楼层(共6层)  | 塔楼
蓝光香江花园,南湖,3室1厅 | 109平米 | 东南 | 其他 | 中楼层(共30层)  | 塔楼
南湖凯旋广场,南湖,3室2厅 | 100.8平米 | 东南 | 其他 | 低楼层(共32层)  | 塔楼
阳光御园,南湖,3室1厅 | 88.02平米 | 东南 | 毛坯 | 高楼层(共30层)  | 塔楼
时代港湾,南湖,2室2厅 | 73.57平米 | 东 | 其他 | 高楼层(共28层)  | 暂无数据
悦麓名邸,南湖,4室1厅 | 124平米 | 东 东南 | 其他 | 低楼层(共18层)  | 塔楼
碧桂园,文峰,3室2厅 | 127平米 | 东北 | 其他 | 高楼层(共32层)  | 塔楼
碧桂园天玺湾,文峰,4室2厅 | 138平米 | 东南 | 其他 | 高楼层(共18层)  | 塔楼
阳光御府,南湖,3室2厅 | 88.48平米 | 东南 | 其他 | 高楼层(共30层)  | 暂无数据
阳光御府,南湖,3室2厅 | 83平米 | 东南 西南 东北 | 其他 | 高楼层(共30层)  | 暂无数据
阳光御府,南湖,3室2厅 | 80平米 | 东南 | 其他 | 低楼层(共30层)  | 暂无数据
南充恒大城,南湖,3室2厅 | 102平米 | 东北 | 其他 | 中楼层(共32层)  | 塔楼
南充恒大城,南湖,3室2厅 | 99.9平米 | 东南 | 精装 | 低楼层(共30层)  | 塔楼
蓝光香江国际二期三区,西山风景区,4室2厅 | 107.22平米 | 东南 | 毛坯 | 高楼层(共29层)  | 塔楼
南门壹号,西山风景区,3室2厅 | 86.5平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼
蓝光香江国际二期,西山风景区,3室2厅 | 99平米 | 南 | 其他 | 中楼层(共29层)  | 塔楼
香山美林,西山风景区,3室2厅 | 93平米 | 东南 南 | 精装 | 低楼层(共6层)  | 板楼
阳光西山秘境,西山风景区,3室2厅 | 89平米 | 东南 | 简装 | 低楼层(共9层)  | 塔楼
蓝光香江国际二期五区,西山风景区,4室2厅 | 116平米 | 东南 | 其他 | 低楼层(共20层)  | 塔楼
融创九棠府,南湖,3室2厅 | 95平米 | 西北 | 精装 | 中楼层(共32层)  | 塔楼
锦通·满庭芳,西山风景区,3室2厅 | 99平米 | 西南 | 其他 | 中楼层(共6层)  | 板楼
水岸花都,西山风景区,3室2厅 | 133.59平米 | 西南 | 毛坯 | 低楼层(共6层)  | 暂无数据
锦通·满庭芳,西山风景区,3室2厅 | 94平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼
美宇悦庭,白马湖,4室2厅 | 117.68平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼
碧桂园,文峰,3室2厅 | 127平米 | 东北 | 其他 | 高楼层(共32层)  | 塔楼
碧桂园,文峰,3室2厅 | 101平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼
蓝光香江国际二期四区,西山风景区,3室2厅 | 104平米 | 东南 | 其他 | 高楼层(共30层)  | 塔楼
蓝光香江国际二期五区,西山风景区,4室2厅 | 125平米 | 东南 | 其他 | 高楼层(共20层)  | 塔楼
蓝光香江国际二期六区,西山风景区,4室2厅 | 116平米 | 南 | 其他 | 高楼层(共20层)  | 塔楼
碧桂园,文峰,3室2厅 | 101平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼
蓝光香江国际二期六区,西山风景区,3室2厅 | 95.28平米 | 南 | 精装 | 低楼层(共20层)  | 塔楼
阳光白马城二区,白马湖,3室2厅 | 92平米 | 南 | 其他 | 低楼层(共6层)  | 塔楼
蓝光香江国际二期六区,西山风景区,4室2厅 | 125平米 | 南 | 其他 | 低楼层(共6层)  | 塔楼
蓝光香江国际二期五区,西山风景区,3室1厅 | 116.5平米 | 南 | 其他 | 低楼层(共20层)  | 塔楼
南充恒大城,南湖,3室2厅 | 102平米 | 东北 | 其他 | 中楼层(共32层)  | 塔楼
碧桂园天玺湾,文峰,4室2厅 | 138平米 | 东南 | 其他 | 高楼层(共18层)  | 塔楼
阳光御府,南湖,3室2厅 | 88.48平米 | 东南 | 其他 | 高楼层(共30层)  | 暂无数据
悦麓名邸,南湖,4室1厅 | 124平米 | 东 东南 | 其他 | 低楼层(共18层)  | 塔楼
南湖凯旋广场,南湖,3室2厅 | 100.8平米 | 东南 | 其他 | 低楼层(共32层)  | 塔楼
阳光御府,南湖,3室2厅 | 80平米 | 东南 | 其他 | 低楼层(共30层)  | 暂无数据
时代港湾,南湖,2室2厅 | 73.57平米 | 东 | 其他 | 高楼层(共28层)  | 暂无数据
阳光御府,南湖,3室2厅 | 83平米 | 东南 西南 东北 | 其他 | 高楼层(共30层)  | 暂无数据
阳光御园,南湖,3室1厅 | 88.02平米 | 东南 | 毛坯 | 高楼层(共30层)  | 塔楼
蓝光香江花园,南湖,3室1厅 | 109平米 | 东南 | 其他 | 中楼层(共30层)  | 塔楼
南充恒大城,南湖,3室2厅 | 99.9平米 | 东南 | 精装 | 低楼层(共30层)  | 塔楼
